ax(g)__sum_values,ax(g)__median,ax(g)__mean,ax(g)__length,ax(g)__standard_deviation,ax(g)__variance,ax(g)__root_mean_square,ax(g)__maximum,ax(g)__absolute_maximum,ax(g)__minimum,ay(g)__sum_values,ay(g)__median,ay(g)__mean,ay(g)__length,ay(g)__standard_deviation,ay(g)__variance,ay(g)__root_mean_square,ay(g)__maximum,ay(g)__absolute_maximum,ay(g)__minimum,az(g)__sum_values,az(g)__median,az(g)__mean,az(g)__length,az(g)__standard_deviation,az(g)__variance,az(g)__root_mean_square,az(g)__maximum,az(g)__absolute_maximum,az(g)__minimum,wx(deg/s)__sum_values,wx(deg/s)__median,wx(deg/s)__mean,wx(deg/s)__length,wx(deg/s)__standard_deviation,wx(deg/s)__variance,wx(deg/s)__root_mean_square,wx(deg/s)__maximum,wx(deg/s)__absolute_maximum,wx(deg/s)__minimum,wy(deg/s)__sum_values,wy(deg/s)__median,wy(deg/s)__mean,wy(deg/s)__length,wy(deg/s)__standard_deviation,wy(deg/s)__variance,wy(deg/s)__root_mean_square,wy(deg/s)__maximum,wy(deg/s)__absolute_maximum,wy(deg/s)__minimum,wz(deg/s)__sum_values,wz(deg/s)__median,wz(deg/s)__mean,wz(deg/s)__length,wz(deg/s)__standard_deviation,wz(deg/s)__variance,wz(deg/s)__root_mean_square,wz(deg/s)__maximum,wz(deg/s)__absolute_maximum,wz(deg/s)__minimum
138.1418,0.0283,0.036353105263157895,3800.0,0.029992312889515604,0.0008995388324626038,0.047128410696063605,0.1279,0.1279,-0.0225,3710.9213,0.9785,0.9765582368421053,3800.0,0.012419020452376165,0.0001542320689965375,0.9766372008136684,1.0205,1.0205,0.9077,-633.7379,-0.1616,-0.16677313157894735,3800.0,0.03517084665463343,0.0012369884544037395,0.17044138544101498,-0.0796,0.3335,-0.3335,-497.25529999999986,-0.1221,-0.1308566578947368,3800.0,4.395582969224888,19.321149639339882,4.397530341482053,40.3442,40.3442,-21.6675,-2081.8493000000003,-0.6104,-0.5478550789473685,3800.0,3.4207519831510877,11.701544130232099,3.464345438572852,15.2588,15.2588,-15.1367,-1067.2621999999997,-0.1221,-0.28085847368421046,3800.0,1.592140929596566,2.5349127396966176,1.6167232978889252,5.7983,6.1646,-6.1646
212.63170000000002,0.0493,0.05315792500000001,4000.0,0.024649101549435327,0.000607578207194375,0.05859473694368804,0.1216,0.1216,0.0,3912.923,0.978,0.9782307499999999,4000.0,0.011467164402654216,0.0001314958594375,0.978297958755409,1.0205,1.0205,0.9443,-625.2484999999999,-0.1543,-0.15631212499999997,4000.0,0.021665023436044907,0.000469373240484375,0.1578063802971857,-0.103,0.2207,-0.2207,-303.6491000000002,0.0,-0.07591227500000006,4000.0,2.4848467629497444,6.174463435341824,2.4860060556719286,9.4604,13.4277,-13.4277,-419.4951999999997,0.0,-0.10487379999999993,4000.0,3.7043304321305572,13.72206395040856,3.7058146829455736,11.6577,16.9678,-16.9678,-1780.2721999999997,-0.4272,-0.44506804999999994,4000.0,1.398827686650217,1.9567188969391975,1.467925224958683,3.8452,5.188,-5.188
222.1182,0.0581,0.06290518266779949,3531.0,0.027112331099285136,0.000735078497637264,0.06849920075523865,0.1328,0.1328,0.0088,3461.6940000000004,0.9805,0.9803721325403569,3531.0,0.010848295806425165,0.00011768552190370182,0.9804321515452411,1.0195,1.0195,0.9492,-495.1123,-0.1401,-0.14021871990937412,3531.0,0.02166007916292303,0.0004691590293440925,0.14188181152765003,-0.0776,0.2119,-0.2119,-734.0068000000001,-0.2441,-0.2078750495610309,3531.0,2.66668633454117,7.111216006828623,2.674776260373683,16.9678,16.9678,-14.4043,-979.1256000000001,-0.1831,-0.2772941376380629,3531.0,3.049011221568716,9.296469429251953,3.0615945956348285,7.9956,10.3149,-10.3149,-1510.9243999999999,-0.4883,-0.42790269045596147,3531.0,1.4857720196773414,2.207518494456086,1.5461627362459414,4.6387,4.6387,-4.5166
169.8478,0.0464,0.04725870895937674,3594.0,0.024087290088299212,0.0005801975437978775,0.053043219324480605,0.1274,0.1274,-0.0122,3532.8318,0.9839,0.9829804674457429,3594.0,0.011222415868378839,0.00012594261792284116,0.9830445269659834,1.0176,1.0176,0.9443,-450.8529,-0.125,-0.12544599332220366,3594.0,0.023964583909243952,0.0005743012819431942,0.1277145196230153,-0.0513,0.1992,-0.1992,-408.9972999999998,0.0,-0.11380002782415131,3594.0,2.5427955364853974,6.465809140370061,2.545340760429306,11.9629,11.9629,-10.2539,-733.7105999999997,-0.5493,-0.20414874791318854,3594.0,3.547217761042719,12.58275384425692,3.5530874680383877,12.146,12.6343,-12.6343,-1857.1816,-0.4883,-0.5167450194769059,3594.0,1.5793244667352786,2.4942657712286724,1.6617133285807335,4.6997,5.4321,-5.4321
163.4718,0.0581,0.0544906,3000.0,0.025937779234930656,0.00067276839164,0.06034893437335907,0.1318,0.1318,-0.0039,2951.6821999999997,0.9844,0.9838940666666666,3000.0,0.01150134766576895,0.0001322809981288889,0.9839612875616601,1.0474,1.0474,0.9448,-349.1864,-0.1143,-0.11639546666666667,3000.0,0.02669145480203147,0.0007124337594488888,0.11941665888811326,-0.0552,0.1851,-0.1851,-438.84069999999986,0.0,-0.1462802333333333,3000.0,3.0215041417037,9.129487278332613,3.0250430054788753,14.5264,14.5264,-13.7329,-251.22409999999985,-0.3662,-0.08374136666666662,3000.0,3.362895448352823,11.309065796552133,3.3639379324005567,10.3149,10.3149,-10.3149,-1568.3009000000002,-0.3662,-0.5227669666666668,3000.0,1.28086956871187,1.6406268520521323,1.3834421395526448,3.6011,3.7842,-3.7842
207.4818,0.0566,0.05763383333333333,3600.0,0.023218182524693876,0.00053908399975,0.062134875427930523,0.125,0.125,0.0073,3526.9851,0.981,0.9797180833333333,3600.0,0.01072389948737295,0.00011500202021527782,0.9797767729593081,1.0195,1.0195,0.9404,-526.4891,-0.1455,-0.14624697222222222,3600.0,0.025761447762743493,0.0006636521908325618,0.14849858273734465,-0.082,0.2324,-0.2324,239.62570000000017,0.0,0.06656269444444449,3600.0,3.325968769489904,11.062068255622185,3.326634763227531,14.3433,14.3433,-14.1602,-1235.346,-0.2136,-0.3431516666666667,3600.0,2.8977130116433583,8.396740697847221,2.9179605487708935,7.6294,8.8501,-8.8501,-1570.8549000000003,-0.3662,-0.43634858333333343,3600.0,1.5302977670023692,2.3418112556924378,1.5912923495918168,5.6152,5.6152,-5.0049
204.1282,0.0542,0.05373208739141879,3799.0,0.025823891997145354,0.0006668733978802279,0.059615523257950984,0.1426,0.1426,-0.0088,3733.3565000000003,0.9834,0.9827208475914715,3799.0,0.011888162591867394,0.00014132840981067528,0.9827927516525092,1.0205,1.0205,0.9053,-469.76849999999996,-0.1182,-0.1236558304817057,3799.0,0.0319181064513639,0.0010187655194405976,0.12770876998687652,-0.0488,0.2344,-0.2344,-724.9165000000004,0.0,-0.19081771518820753,3799.0,3.4395814855066766,11.830720795440316,3.4448704178633434,14.4043,20.874,-20.874,-978.4555000000003,-0.5493,-0.25755606738615433,3799.0,3.4634531658017926,11.99550783170246,3.4730164064613747,10.3149,11.8408,-11.8408,-1075.6790999999998,-0.2441,-0.28314795998947084,3799.0,1.4852045423579248,2.205832532640613,1.5119541328647548,3.7231,5.249,-5.249
187.1406,0.0591,0.058481437500000004,3200.0,0.024830507303186415,0.0006165540929335938,0.06353449948649946,0.1338,0.1338,-0.0049,3142.1733000000004,0.9824,0.9819291562500001,3200.0,0.009463013686880406,8.95486280380859e-05,0.9819747535053409,1.0176,1.0176,0.9468,-417.77920000000006,-0.1289,-0.130556,3200.0,0.024594100186833428,0.000604869764,0.13285231988941706,-0.0737,0.1943,-0.1943,-69.15370000000013,-0.061,-0.02161053125000004,3200.0,2.512654735091895,6.313433817779719,2.5127476659705854,8.8501,11.2305,-11.2305,-249.44820000000004,0.061,-0.07795256250000002,3200.0,3.5533365138362822,12.626200380562183,3.5541914667843235,11.2305,12.5732,-12.5732,-1409.1231000000002,-0.3052,-0.44035096875000007,3200.0,1.5023766967018661,2.2571357387928113,1.5655812704781171,5.8594,5.8594,-4.6387
187.4925,0.0562,0.058591406250000005,3200.0,0.02036860999239911,0.0004148802730224609,0.062030904873095316,0.1201,0.1201,0.0112,3145.337,0.9834,0.9829178125,3200.0,0.010914691141523145,0.0001191304827148438,0.9829784110612502,1.0195,1.0195,0.936,-398.4235,-0.1235,-0.12450734375,3200.0,0.02833051555645142,0.0008026181116943359,0.12768984595250712,-0.0664,0.231,-0.231,-700.4364000000002,-0.2441,-0.21888637500000005,3200.0,2.991448459574284,8.948763886289358,2.9994458040528085,11.9019,13.6108,-13.6108,-1291.8121999999996,-0.3662,-0.4036913124999999,3200.0,3.4969215417491895,12.228460269149528,3.5201458698379957,10.1318,11.7188,-11.7188,-1250.6108,-0.4272,-0.390815875,3200.0,1.5636245583932495,2.4449217596104846,1.6117254132644618,5.249,5.7983,-5.7983
145.8005,0.0435,0.04050013888888889,3600.0,0.03146956594133871,0.0009903335805362655,0.051289324723138595,0.1353,0.1353,-0.0435,3537.2838,0.9829,0.9825788333333334,3600.0,0.010648823449616917,0.00011339744086111111,0.9826365356303192,1.0347,1.0347,0.9331,-456.736,-0.1201,-0.1268711111111111,3600.0,0.034632182349961536,0.0011993880543209874,0.1315129913312327,-0.0674,0.291,-0.291,386.16639999999995,-0.1221,0.10726844444444443,3600.0,3.4887703287490566,12.171518406759802,3.4904190186757424,29.48,29.48,-12.8784,-177.1887999999998,-0.2441,-0.049219111111111054,3600.0,2.9600846595806622,8.762101191884765,2.9604938292087914,11.9019,11.9019,-7.8125,-2798.4011,-0.6714,-0.777333638888889,3600.0,1.4126169878531134,1.995486754371203,1.6123691700474319,3.418,5.7373,-5.7373
