ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.523,-0.72,1.562,-35.767,-5.005,-20.996,0.586,0.679,1.792,25.818,-7.263,28.931,67,50,Vlad
0.479,-0.741,1.53,-38.025,-4.7,-13.672,0.653,0.648,1.749,30.701,-5.493,32.166,67,51,Vlad
0.397,-0.694,1.586,-42.725,-8.728,-11.78,0.574,0.714,1.675,35.034,-0.854,33.508,67,52,Vlad
0.475,-0.615,1.627,-49.5,-11.169,-12.634,0.571,0.704,1.71,40.283,-2.93,32.104,67,53,Vlad
0.466,-0.673,1.558,-55.664,-4.7,-8.423,0.587,0.6,1.738,47.18,-2.258,33.264,67,54,Vlad
0.493,-0.624,1.472,-57.617,-7.751,-6.409,0.69,0.557,1.686,48.828,1.831,37.903,67,55,Vlad
0.395,-0.747,1.463,-58.472,-12.939,-6.775,0.629,0.647,1.644,45.105,3.784,41.138,67,56,Vlad
0.428,-0.611,1.548,-52.551,-18.982,-15.32,0.612,0.589,1.653,42.908,2.441,42.053,67,57,Vlad
0.497,-0.588,1.53,-50.354,-15.503,-18.982,0.584,0.534,1.704,37.781,-3.479,44.006,67,58,Vlad
0.442,-0.629,1.395,-45.715,-19.653,-20.02,0.753,0.48,1.667,29.48,-8.179,48.218,67,59,Vlad
0.409,-0.753,1.364,-40.283,-21.79,-22.583,0.654,0.548,1.592,15.503,-1.648,52.49,67,60,Vlad
0.437,-0.684,1.396,-29.785,-22.949,-33.203,0.548,0.591,1.618,7.629,-4.639,52.124,67,61,Vlad
0.401,-0.613,1.418,-27.588,-23.621,-35.828,0.72,0.478,1.667,2.441,-19.043,53.406,67,62,Vlad
0.477,-0.578,1.367,-26.001,-10.376,-38.757,0.817,0.449,1.567,-2.38,-16.602,53.711,67,63,Vlad
0.404,-0.616,1.356,-22.217,1.404,-44.495,0.688,0.583,1.532,-3.906,-11.23,51.27,67,64,Vlad
0.453,-0.607,1.325,-20.996,3.174,-43.518,0.781,0.542,1.512,-2.563,-21.118,48.889,67,65,Vlad
0.482,-0.545,1.309,-19.165,2.93,-47.18,0.729,0.511,1.55,-0.061,-26.123,45.288,67,66,Vlad
0.534,-0.562,1.357,-25.635,13.367,-43.884,0.776,0.509,1.497,5.493,-20.508,45.471,67,67,Vlad
