ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
-0.464,0.869,1.765,0.122,-1.892,0.61,0.498,0.828,1.699,-0.244,0.671,0.183,33,0,Aikun
-0.464,0.879,1.76,-0.488,-2.319,0.061,0.5,0.821,1.708,-1.099,-1.099,0.366,33,1,Aikun
-0.444,0.869,1.764,-0.549,-1.892,0.488,0.487,0.811,1.705,-2.258,-1.343,1.099,33,2,Aikun
-0.443,0.872,1.764,0.244,-1.831,0.122,0.528,0.817,1.68,-1.587,-0.61,1.404,33,3,Aikun
-0.452,0.895,1.766,-0.122,-1.77,-0.061,0.487,0.827,1.699,-0.488,-1.648,0.671,33,4,Aikun
-0.444,0.879,1.765,-0.732,-0.793,0.61,0.494,0.829,1.692,-1.709,-1.587,0.366,33,5,Aikun
-0.453,0.866,1.77,-0.122,-0.977,0.732,0.506,0.814,1.694,-1.526,-1.282,0.183,33,6,Aikun
-0.459,0.865,1.767,-0.61,-1.099,-0.244,0.508,0.805,1.697,-1.16,-1.343,0.671,33,7,Aikun
-0.444,0.873,1.772,-0.916,-0.366,0.0,0.484,0.809,1.704,-1.526,-0.488,0.61,33,8,Aikun
-0.438,0.871,1.777,-2.38,0.427,1.038,0.527,0.811,1.685,-2.014,1.282,0.732,33,9,Aikun
-0.447,0.873,1.769,-3.235,0.0,-0.122,0.484,0.811,1.704,-1.526,0.854,-0.427,33,10,Aikun
-0.454,0.88,1.77,-3.357,0.793,-1.038,0.477,0.827,1.711,-2.563,1.526,-1.282,33,11,Aikun
-0.442,0.878,1.785,-3.601,1.343,0.244,0.497,0.822,1.706,-3.906,1.953,-0.549,33,12,Aikun
-0.444,0.876,1.781,-3.296,0.549,1.16,0.512,0.823,1.709,-2.93,3.418,-0.305,33,13,Aikun
-0.438,0.877,1.775,-3.418,0.427,-0.305,0.496,0.821,1.73,-2.319,2.258,-0.61,33,14,Aikun
-0.442,0.876,1.778,-3.296,0.061,-0.488,0.495,0.82,1.727,-3.113,1.648,-0.366,33,15,Aikun
-0.444,0.88,1.777,-2.258,-1.038,-0.244,0.517,0.82,1.713,-2.38,0.977,-0.061,33,16,Aikun
-0.426,0.882,1.782,-1.892,-1.038,0.427,0.489,0.82,1.726,-1.892,0.0,0.427,33,17,Aikun
-0.441,0.874,1.783,-1.526,-1.038,-0.366,0.514,0.808,1.722,-1.526,0.0,0.916,33,18,Aikun
-0.44,0.875,1.783,-0.366,-1.77,-2.197,0.478,0.813,1.728,-0.427,-1.099,0.549,33,19,Aikun
-0.459,0.879,1.782,0.305,-2.014,-2.502,0.504,0.821,1.718,-0.732,-1.587,0.671,33,20,Aikun
-0.435,0.877,1.784,0.732,-1.16,-1.465,0.511,0.825,1.703,-0.671,-1.526,1.343,33,21,Aikun
-0.443,0.88,1.778,1.282,-1.587,-1.77,0.506,0.834,1.713,1.282,-1.343,1.221,33,22,Aikun
-0.484,0.896,1.765,1.892,-2.014,-3.052,0.511,0.836,1.72,1.221,-2.686,1.16,33,23,Aikun
-0.446,0.896,1.771,2.38,-0.61,-1.709,0.516,0.831,1.703,-0.549,-2.808,2.319,33,24,Aikun
-0.464,0.89,1.774,1.953,-1.038,-1.221,0.521,0.813,1.684,0.671,-2.319,2.319,33,25,Aikun
-0.465,0.887,1.758,0.916,-0.854,-3.174,0.486,0.822,1.705,1.77,-2.075,0.793,33,26,Aikun
-0.435,0.888,1.763,0.732,-0.305,-2.014,0.503,0.821,1.698,-0.427,-2.075,-0.427,33,27,Aikun
-0.453,0.878,1.763,-0.122,-0.488,-0.183,0.518,0.811,1.673,-1.77,-1.831,-1.526,33,28,Aikun
-0.449,0.869,1.753,-1.099,-1.221,-0.549,0.507,0.814,1.682,-0.61,-0.488,-3.113,33,29,Aikun
-0.459,0.871,1.751,-2.686,-1.404,-1.404,0.5,0.816,1.7,-1.953,-0.732,-4.333,33,30,Aikun
-0.449,0.866,1.761,-4.028,-0.61,-1.282,0.499,0.808,1.702,-5.859,-2.258,-3.479,33,31,Aikun
-0.436,0.845,1.772,-5.127,0.549,-1.709,0.511,0.804,1.695,-5.798,-2.136,-2.319,33,32,Aikun
-0.427,0.841,1.777,-6.653,1.221,-5.432,0.478,0.795,1.735,-5.737,-4.272,-1.099,33,33,Aikun
-0.458,0.823,1.782,-7.08,2.869,-9.46,0.468,0.786,1.76,-8.484,-7.019,2.258,33,34,Aikun
-0.431,0.834,1.801,-6.592,5.737,-11.719,0.457,0.76,1.763,-13.489,-13.611,9.766,33,35,Aikun
-0.417,0.821,1.835,-8.911,14.709,-14.526,0.494,0.786,1.753,-10.986,-12.756,14.648,33,36,Aikun
-0.368,0.81,1.852,-13.55,28.381,-24.536,0.42,0.805,1.827,-12.207,-30.518,18.25,33,37,Aikun
