Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:31:40.324	COM8_115200	2000-0-0 5:27:30.850	0,345	0,944	1,857	1,160	-3,479	1,404	26,982	-9,580	-48,840	-48,158	62,258	41,300	36,95															
03:31:40.324	COM3_115200	2000-0-0 5:23:3.265	0,321	-0,836	1,582	-3,113	2,808	2,625	-28,471	-10,844	157,956	11,400	67,658	-52,142	40,26															
03:31:40.324	COM8_115200	2000-0-0 5:27:30.870	0,337	0,935	1,858	-0,061	-5,188	1,465	26,993	-9,668	-48,851	-48,158	62,258	41,300	37,05															
03:31:40.340	COM3_115200	2000-0-0 5:23:3.285	0,325	-0,835	1,580	-2,625	3,357	1,221	-28,521	-10,767	157,956	11,400	67,658	-52,142	40,29															
03:31:40.355	COM8_115200	2000-0-0 5:27:30.890	0,339	0,927	1,861	-0,549	-5,737	1,709	26,988	-9,778	-48,878	-48,158	62,258	41,300	37,11															
03:31:40.371	COM3_115200	2000-0-0 5:23:3.305	0,329	-0,840	1,581	-2,319	4,211	0,366	-28,553	-10,684	157,928	11,400	67,658	-52,142	40,26															
03:31:40.371	COM8_115200	2000-0-0 5:27:30.910	0,327	0,925	1,858	-0,854	-5,432	2,808	26,971	-9,893	-48,889	-48,158	62,258	41,300	36,98															
03:31:40.371	COM3_115200	2000-0-0 5:23:3.325	0,330	-0,833	1,595	-2,319	3,784	0,732	-28,586	-10,607	157,901	11,400	67,658	-52,142	40,29															
03:31:40.386	COM8_115200	2000-0-0 5:27:30.930	0,327	0,926	1,854	-0,793	-3,357	3,906	26,944	-9,992	-48,867	-48,158	62,258	41,300	37,08															
03:31:40.402	COM3_115200	2000-0-0 5:23:3.345	0,325	-0,831	1,599	-1,709	2,930	0,793	-28,614	-10,536	157,885	11,400	67,658	-52,142	40,20															
03:31:40.417	COM8_115200	2000-0-0 5:27:30.950	0,332	0,929	1,861	-1,587	-3,601	3,723	26,917	-10,074	-48,829	-48,158	62,258	41,300	36,95															
03:31:40.441	COM8_115200	2000-0-0 5:27:30.970	0,345	0,931	1,870	-1,343	-2,930	4,211	26,878	-10,157	-48,790	-48,158	62,258	41,300	37,11															
03:31:40.441	COM3_115200	2000-0-0 5:23:3.365	0,326	-0,831	1,604	-0,793	2,563	-0,732	-28,625	-10,486	157,857	11,400	67,658	-52,142	40,42															
03:31:40.441	COM3_115200	2000-0-0 5:23:3.385	0,332	-0,831	1,591	-1,404	3,113	-1,282	-28,630	-10,443	157,808	11,400	67,658	-52,142	40,42															
03:31:40.473	COM8_115200	2000-0-0 5:27:30.990	0,335	0,932	1,867	-1,953	-2,380	6,042	26,823	-10,239	-48,713	-48,158	62,258	41,300	37,08															
03:31:40.473	COM3_115200	2000-0-0 5:23:3.405	0,336	-0,840	1,606	-1,648	1,953	-0,916	-28,641	-10,410	157,764	11,400	67,658	-52,142	40,23															
03:31:40.473	COM8_115200	2000-0-0 5:27:31.010	0,349	0,939	1,855	-1,160	0,488	7,629	26,774	-10,305	-48,593	-48,158	62,258	41,300	37,11															
03:31:40.488	COM8_115200	2000-0-0 5:27:31.030	0,338	0,949	1,869	-0,549	0,366	6,531	26,735	-10,333	-48,455	-48,158	62,258	41,300	37,11															
03:31:40.488	COM3_115200	2000-0-0 5:23:3.425	0,335	-0,839	1,620	-1,160	0,610	-0,549	-28,652	-10,399	157,742	11,400	67,658	-52,142	40,33															
03:31:40.504	COM3_115200	2000-0-0 5:23:3.445	0,331	-0,841	1,606	-1,343	-0,549	-1,526	-28,663	-10,410	157,725	11,400	67,658	-52,142	40,11															
03:31:40.504	COM8_115200	2000-0-0 5:27:31.050	0,350	0,927	1,877	0,000	0,488	6,226	26,702	-10,371	-48,340	-48,158	62,258	41,300	36,98															
