Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
04:02:55.747	COM3_115200	2000-0-0 5:54:19.095	-0,464	0,869	1,765	0,122	-1,892	0,610	26,027	13,140	-34,096	16,292	-20,408	-4,700	38,37															
04:02:55.762	COM8_115200	2000-0-0 5:58:41.360	0,498	0,828	1,699	-0,244	0,671	0,183	25,444	-15,271	72,263	-48,158	62,258	41,300	35,25															
04:02:55.776	COM3_115200	2000-0-0 5:54:19.115	-0,464	0,879	1,760	-0,488	-2,319	0,061	26,021	13,090	-34,113	16,267	-20,508	-4,725	38,37															
04:02:55.790	COM8_115200	2000-0-0 5:58:41.380	0,500	0,821	1,708	-1,099	-1,099	0,366	25,433	-15,276	72,257	-48,158	62,258	41,300	35,22															
04:02:55.791	COM8_115200	2000-0-0 5:58:41.400	0,487	0,811	1,705	-2,258	-1,343	1,099	25,400	-15,298	72,263	-48,158	62,258	41,300	35,18															
04:02:55.806	COM3_115200	2000-0-0 5:54:19.135	-0,444	0,869	1,764	-0,549	-1,892	0,488	26,010	13,046	-34,135	16,308	-20,492	-4,708	38,37															
04:02:55.816	COM8_115200	2000-0-0 5:58:41.420	0,528	0,817	1,680	-1,587	-0,610	1,404	25,356	-15,326	72,285	-48,158	62,258	41,300	34,96															
04:02:55.832	COM3_115200	2000-0-0 5:54:19.155	-0,443	0,872	1,764	0,244	-1,831	0,122	26,010	13,008	-34,146	16,333	-20,433	-4,658	38,50															
04:02:55.845	COM8_115200	2000-0-0 5:58:41.440	0,487	0,827	1,699	-0,488	-1,648	0,671	25,345	-15,348	72,290	-48,158	62,258	41,300	35,15															
04:02:55.851	COM8_115200	2000-0-0 5:58:41.460	0,494	0,829	1,692	-1,709	-1,587	0,366	25,329	-15,375	72,285	-48,158	62,258	41,300	35,25															
04:02:55.856	COM3_115200	2000-0-0 5:54:19.175	-0,452	0,895	1,766	-0,122	-1,770	-0,061	26,010	12,969	-34,173	16,333	-20,383	-4,675	38,31															
04:02:55.860	COM3_115200	2000-0-0 5:54:19.195	-0,444	0,879	1,765	-0,732	-0,793	0,610	26,005	12,947	-34,173	16,317	-20,408	-4,642	38,37															
04:02:55.869	COM3_115200	2000-0-0 5:54:19.215	-0,453	0,866	1,770	-0,122	-0,977	0,732	26,005	12,920	-34,167	16,275	-20,417	-4,750	38,37															
04:02:55.871	COM8_115200	2000-0-0 5:58:41.480	0,506	0,814	1,694	-1,526	-1,282	0,183	25,302	-15,397	72,274	-48,158	62,258	41,300	35,28															
04:02:55.886	COM3_115200	2000-0-0 5:54:19.235	-0,459	0,865	1,767	-0,610	-1,099	-0,244	25,999	12,898	-34,173	16,208	-20,392	-4,625	38,18															
04:02:55.895	COM8_115200	2000-0-0 5:58:41.500	0,508	0,805	1,697	-1,160	-1,343	0,671	25,280	-15,419	72,268	-48,158	62,258	41,300	35,12															
04:02:55.906	COM3_115200	2000-0-0 5:54:19.255	-0,444	0,873	1,772	-0,916	-0,366	0,000	25,988	12,887	-34,184	16,208	-20,350	-4,725	38,50															
04:02:55.914	COM8_115200	2000-0-0 5:58:41.520	0,484	0,809	1,704	-1,526	-0,488	0,610	25,252	-15,430	72,279	-48,158	62,258	41,300	35,18															
04:02:55.929	COM3_115200	2000-0-0 5:54:19.275	-0,438	0,871	1,777	-2,380	0,427	1,038	25,961	12,881	-34,173	16,250	-20,383	-4,775	38,43															
04:02:55.931	COM8_115200	2000-0-0 5:58:41.540	0,527	0,811	1,685	-2,014	1,282	0,732	25,208	-15,425	72,296	-48,158	62,258	41,300	35,09															
04:02:55.946	COM3_115200	2000-0-0 5:54:19.295	-0,447	0,873	1,769	-3,235	0,000	-0,122	25,911	12,881	-34,162	16,208	-20,375	-4,750	38,31															
04:02:55.983	COM3_115200	2000-0-0 5:54:19.315	-0,454	0,880	1,770	-3,357	0,793	-1,038	25,845	12,898	-34,178	16,200	-20,392	-4,858	38,43															
04:02:55.988	COM3_115200	2000-0-0 5:54:19.335	-0,442	0,878	1,785	-3,601	1,343	0,244	25,785	12,920	-34,173	16,250	-20,425	-4,967	38,43															
04:02:56.014	COM3_115200	2000-0-0 5:54:19.355	-0,444	0,876	1,781	-3,296	0,549	1,160	25,730	12,925	-34,151	16,283	-20,433	-4,983	38,37															
04:02:56.025	COM3_115200	2000-0-0 5:54:19.375	-0,438	0,877	1,775	-3,418	0,427	-0,305	25,670	12,931	-34,146	16,283	-20,392	-5,133	38,37															
04:02:56.038	COM8_115200	2000-0-0 5:58:41.560	0,484	0,811	1,704	-1,526	0,854	-0,427	25,175	-15,392	72,312	-48,158	62,258	41,300	35,15															
04:02:56.039	COM8_115200	2000-0-0 5:58:41.580	0,477	0,827	1,711	-2,563	1,526	-1,282	25,137	-15,348	72,301	-48,158	62,258	41,300	35,09															
