Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:18:33.049	COM8_115200	2000-0-0 1:30:20.740	0,183	0,976	1,845	0,793	-0,305	0,305	27,642	-5,680	-151,216				37,33															
03:18:33.054	COM3_115200	2000-0-0 1:32:40.525	-0,317	0,920	1,748	0,977	0,549	-0,671	27,664	8,388	46,626				39,88															
03:18:33.065	COM8_115200	2000-0-0 1:30:20.760	0,174	0,976	1,852	0,977	-0,549	0,427	27,664	-5,685	-151,216				37,23															
03:18:33.075	COM3_115200	2000-0-0 1:32:40.545	-0,309	0,919	1,742	1,404	0,488	-1,282	27,691	8,416	46,609				39,76															
03:18:33.086	COM8_115200	2000-0-0 1:30:20.780	0,170	0,978	1,854	2,014	-1,465	0,549	27,691	-5,696	-151,216				37,39															
03:18:33.101	COM3_115200	2000-0-0 1:32:40.565	-0,307	0,929	1,745	2,075	-0,854	-0,244	27,729	8,421	46,599				39,92															
03:18:33.109	COM8_115200	2000-0-0 1:30:20.800	0,172	0,986	1,844	2,197	-0,610	0,916	27,735	-5,702	-151,205				37,11															
03:18:33.117	COM3_115200	2000-0-0 1:32:40.585	-0,312	0,930	1,749	2,075	-0,610	0,977	27,773	8,410	46,604				39,85															
03:18:33.147	COM8_115200	2000-0-0 1:30:20.820	0,176	0,986	1,844	2,441	-0,854	0,366	27,779	-5,713	-151,199				37,20															
03:18:33.148	COM8_115200	2000-0-0 1:30:20.840	0,178	0,974	1,850	3,113	-1,587	0,000	27,839	-5,724	-151,210				37,27															
03:18:33.149	COM3_115200	2000-0-0 1:32:40.605	-0,314	0,926	1,744	2,319	-0,488	0,671	27,817	8,405	46,615				39,88															
03:18:33.155	COM3_115200	2000-0-0 1:32:40.625	-0,319	0,916	1,742	3,113	0,000	-0,061	27,878	8,405	46,615				39,73															
03:18:33.167	COM8_115200	2000-0-0 1:30:20.860	0,184	0,981	1,840	2,930	-1,282	0,610	27,900	-5,735	-151,216				37,17															
03:18:33.177	COM3_115200	2000-0-0 1:32:40.645	-0,309	0,921	1,741	3,906	-0,549	0,305	27,949	8,410	46,615				39,88															
03:18:33.186	COM8_115200	2000-0-0 1:30:20.880	0,178	0,976	1,834	3,052	-0,305	0,977	27,960	-5,740	-151,205				37,27															
03:18:33.201	COM3_115200	2000-0-0 1:32:40.665	-0,309	0,924	1,737	3,418	-0,488	0,427	28,015	8,405	46,615				39,76															
03:18:33.209	COM8_115200	2000-0-0 1:30:20.900	0,178	0,975	1,827	2,747	-0,427	0,427	28,015	-5,746	-151,194				37,30															
03:18:33.214	COM3_115200	2000-0-0 1:32:40.685	-0,310	0,927	1,731	2,563	0,366	0,488	28,076	8,405	46,626				39,82															
