Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
21:20:09.163	COM8	2000-0-0 16:21:46.195	0,335	0,915	2,310	8,301	11,963	11,963	18,858	-6,553	-155,490				38,75															
21:20:09.167	COM3	2000-0-0 16:24:3.955	0,550	-0,842	2,391	-15,686	22,339	-7,080	-19,122	-4,125	-78,723	3,875	72,433	31,550	41,02															
21:20:09.187	COM8	2000-0-0 16:21:46.215	0,343	0,908	2,329	10,864	17,395	11,597	19,056	-6,334	-155,160				38,75															
21:20:09.194	COM3	2000-0-0 16:24:3.975	0,536	-0,832	2,420	-17,517	27,039	-5,188	-19,418	-3,752	-79,019	3,875	72,433	31,550	41,18															
21:20:09.203	COM8	2000-0-0 16:21:46.235	0,290	0,984	2,358	16,785	6,531	5,005	19,341	-6,163	-154,924				38,72															
21:20:09.217	COM3	2000-0-0 16:24:3.995	0,312	-0,902	2,458	-24,841	8,301	3,601	-19,841	-3,516	-79,129	3,875	72,433	31,550	41,08															
21:20:09.228	COM3	2000-0-0 16:24:4.015	0,309	-0,956	2,313	-26,672	-10,437	18,433	-20,424	-3,615	-78,843	3,875	72,433	31,550	41,05															
21:20:09.238	COM8	2000-0-0 16:21:46.255	0,404	1,023	2,271	21,790	-4,517	-6,531	19,786	-6,180	-154,979				38,75															
21:20:09.244	COM8	2000-0-0 16:21:46.275	0,321	1,005	2,326	25,269	-5,005	-16,479	20,303	-6,202	-155,242				38,72															
21:20:09.252	COM3	2000-0-0 16:24:4.035	0,533	-0,868	2,318	-17,700	-14,526	18,250	-20,847	-3,812	-78,387	3,875	72,433	31,550	41,18															
21:20:09.264	COM8	2000-0-0 16:21:46.295	0,294	0,943	2,315	33,447	-5,005	-25,208	20,984	-6,174	-155,709				38,59															
21:20:09.269	COM3	2000-0-0 16:24:4.055	0,418	-0,784	2,424	-15,198	-7,813	23,071	-21,160	-3,917	-77,904	3,875	72,433	31,550	41,05															
21:20:09.283	COM8	2000-0-0 16:21:46.315	0,339	0,878	2,323	36,865	-3,052	-28,015	21,780	-6,070	-156,259				38,59															
21:20:09.296	COM3	2000-0-0 16:24:4.075	0,377	-0,817	2,347	-20,203	-11,658	26,428	-21,577	-4,016	-77,349	3,875	72,433	31,550	41,15															
