Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:11:20.209	COM8_115200	2000-0-0 1:23:7.860	0,545	0,785	1,853	-9,399	-1,343	-1,343	21,363	-39,842	32,750				37,83															
03:11:20.212	COM8_115200	2000-0-0 1:23:7.880	0,538	0,791	1,859	-3,662	-2,014	1,343	21,275	-39,567	32,761				37,80															
03:11:20.242	COM3_115200	2000-0-0 1:25:26.565	0,387	-0,855	1,757	-14,526	-2,441	-3,723	-34,442	-41,028	171,519				39,44															
03:11:20.245	COM3_115200	2000-0-0 1:25:26.585	0,370	-0,839	1,752	-14,160	-3,967	-4,700	-34,563	-40,792	171,337				39,51															
03:11:20.265	COM8_115200	2000-0-0 1:23:7.900	0,552	0,800	1,859	-2,136	-5,737	2,686	21,248	-39,375	32,794				37,83															
03:11:20.265	COM8_115200	2000-0-0 1:23:7.920	0,579	0,811	1,875	-2,991	-9,644	2,686	21,226	-39,265	32,800				37,77															
03:11:20.278	COM3_115200	2000-0-0 1:25:26.605	0,387	-0,882	1,733	-12,329	-2,075	-5,554	-34,618	-40,545	171,101				39,54															
03:11:20.286	COM8_115200	2000-0-0 1:23:7.940	0,516	0,829	1,882	-4,761	-10,315	2,258	21,193	-39,183	32,778				37,71															
03:11:20.295	COM3_115200	2000-0-0 1:25:26.625	0,374	-0,862	1,713	-8,057	-3,967	-8,606	-34,585	-40,358	170,837				39,60															
03:11:20.295	COM8_115200	2000-0-0 1:23:7.960	0,524	0,819	1,869	-5,981	-15,259	2,747	21,154	-39,150	32,734				37,87															
03:11:20.295	COM3_115200	2000-0-0 1:25:26.645	0,348	-0,858	1,701	-3,662	-3,296	-11,719	-34,437	-40,188	170,535				39,66															
03:11:20.312	COM8_115200	2000-0-0 1:23:7.980	0,513	0,797	1,883	-9,521	-20,264	4,211	21,072	-39,238	32,657				37,74															
03:11:20.321	COM3_115200	2000-0-0 1:25:26.665	0,437	-0,827	1,691	2,258	-8,423	-17,761	-34,151	-40,106	170,151				39,54															
03:11:20.338	COM8_115200	2000-0-0 1:23:8.000	0,639	0,755	1,848	-12,878	-25,452	8,972	20,901	-39,435	32,618				37,80															
